domain,url,first_seen,label,source,seen_in_urlhaus,seen_in_openphish
forms.saurashtrauniversity.edu,https://forms.saurashtrauniversity.edu/belt.php,2025-09-22 18:22:12.692818+00:00,malware_download,urlhaus,True,False
140.143.190.142,http://140.143.190.142:8888/WxWorkApis.dll,2025-09-21 00:00:00+00:00,malware_download,urlhaus,True,False
94.43.139.153,http://94.43.139.153:53069/Mozi.m,2025-09-22 18:22:12.692818+00:00,malware_download,urlhaus,True,False
113.57.8.243,http://113.57.8.243:687/info.zip,2025-09-21 00:00:00+00:00,malware_download,urlhaus,True,False
119.109.161.248,http://119.109.161.248:34258/i,2025-09-21 00:00:00+00:00,malware_download,urlhaus,True,False
120.28.219.42,http://120.28.219.42:53493/i,2025-09-21 00:00:00+00:00,malware_download,urlhaus,True,False
115.49.64.197,http://115.49.64.197:42540/i,2025-09-21 00:00:00+00:00,malware_download,urlhaus,True,False
185.148.3.216,http://185.148.3.216/Ujkflzer45sc0,2025-09-21 00:00:00+00:00,malware_download,urlhaus,True,False
81.30.194.134,http://81.30.194.134:30357/i,2025-09-21 00:00:00+00:00,malware_download,urlhaus,True,False
class1004.dothome.co.kr,http://class1004.dothome.co.kr/ClassTicket.exe,2025-09-22 18:22:12.692818+00:00,malware_download,urlhaus,True,False
118.25.68.152,http://118.25.68.152:91/rasadhlp.dll,2025-09-22 18:22:12.692818+00:00,malware_download,urlhaus,True,False
173.178.94.224,http://173.178.94.224:1364/i,2025-09-21 00:00:00+00:00,malware_download,urlhaus,True,False
178.34.177.78,http://178.34.177.78:34414/i,2025-09-22 18:22:12.692818+00:00,malware_download,urlhaus,True,False
mohammed-mubasheer.github.io,https://mohammed-mubasheer.github.io/Netflix-Website-Clone/,2025-09-22 18:22:09.668075+00:00,phishing,openphish,False,True
82.148.194.54,http://82.148.194.54:9013//sshd,2025-09-21 00:00:00+00:00,malware_download,urlhaus,True,False
disk.accord1key.cn,http://disk.accord1key.cn/txdown_disk/%E8%BD%AF%E4%BB%B6%E4%BD%BF%E7%94%A8/%E7%BC%BA%E5%A4%B1%E4%B8%8B%E8%BD%BD/plugin.dll,2025-09-21 00:00:00+00:00,malware_download,urlhaus,True,False
14.184.229.91,http://14.184.229.91:42367/bin.sh,2025-09-21 00:00:00+00:00,malware_download,urlhaus,True,False
74.64.155.4,http://74.64.155.4:9090/Photo.scr,2025-09-22 18:22:12.692818+00:00,malware_download,urlhaus,True,False
airbnb-clone-vue.vercel.app,http://airbnb-clone-vue.vercel.app/,2025-09-22 18:22:09.668075+00:00,phishing,openphish,False,True
193.233.84.146,http://193.233.84.146/Documents/test01.lnk,2025-09-22 18:22:12.692818+00:00,malware_download,urlhaus,True,False
imap.mdonline.net,http://imap.mdonline.net/,2025-09-22 18:22:09.668075+00:00,phishing,openphish,False,True
onedrive.live.com,https://onedrive.live.com/download?cid=04A3894062E7D373&resid=4A3894062E7D373%21192&authkey=AB7I1w77n6TSB3M,2025-09-22 18:22:12.692818+00:00,malware_download,urlhaus,True,False
36.93.2.29,http://36.93.2.29:62352/i,2025-09-22 18:22:12.692818+00:00,malware_download,urlhaus,True,False
microsoft-telemetry.cc,http://microsoft-telemetry.cc/cvdfnaFJBmC0/Plugins/cred64.dll,2025-09-22 18:22:12.692818+00:00,malware_download,urlhaus,True,False
117.215.129.223,http://117.215.129.223/sshd,2025-09-22 18:22:12.692818+00:00,malware_download,urlhaus,True,False
92.50.136.42,http://92.50.136.42:34226/i,2025-09-21 00:00:00+00:00,malware_download,urlhaus,True,False
computersupportexperts.com,https://computersupportexperts.com/css/down.exe,2025-09-22 18:22:12.692818+00:00,malware_download,urlhaus,True,False
58.137.135.190,http://58.137.135.190:8080/ExSync.exe,2025-09-21 00:00:00+00:00,malware_download,urlhaus,True,False
92.203.169.41,http://92.203.169.41/sshd,2025-09-22 18:22:12.692818+00:00,malware_download,urlhaus,True,False
help-metamask-log.pages.dev,https://help-metamask-log.pages.dev/,2025-09-22 18:22:09.668075+00:00,phishing,openphish,False,True
fvia.id.vn,https://fvia.id.vn/WindowsSecurity.exe,2025-09-22 18:22:12.692818+00:00,malware_download,urlhaus,True,False
103.90.205.115,http://103.90.205.115:18963/i,2025-09-21 00:00:00+00:00,malware_download,urlhaus,True,False
81.16.123.55,http://81.16.123.55:41567/i,2025-09-21 00:00:00+00:00,malware_download,urlhaus,True,False
36.91.144.195,http://36.91.144.195:2274/.i,2025-09-22 18:22:12.692818+00:00,malware_download,urlhaus,True,False
113.214.56.238,http://113.214.56.238:3269/i,2025-09-21 00:00:00+00:00,malware_download,urlhaus,True,False
185.43.19.103,http://185.43.19.103:9043/sshd,2025-09-22 18:22:12.692818+00:00,malware_download,urlhaus,True,False
support.viewpoint.fr,http://support.viewpoint.fr/viewpoint_support.exe,2025-09-22 18:22:12.692818+00:00,malware_download,urlhaus,True,False
47.109.93.252,http://47.109.93.252:50051/02.08.2022.exe,2025-09-21 00:00:00+00:00,malware_download,urlhaus,True,False
107.174.212.72,http://107.174.212.72/shimwed.vbs,2025-09-21 00:00:00+00:00,malware_download,urlhaus,True,False
111.59.254.165,http://111.59.254.165:8084/19000101/AV.scr,2025-09-21 00:00:00+00:00,malware_download,urlhaus,True,False
