domain,url,first_seen,label,source
42.232.81.31,http://42.232.81.31:50089/i,2025-09-21 00:00:00+00:00,malware_download,urlhaus
cdn.riskless.id,https://cdn.riskless.id/u/Fr17q9.exe,2025-09-21 00:00:00+00:00,malware_download,urlhaus
123.129.128.248,http://123.129.128.248:44403/bin.sh,2025-09-21 00:00:00+00:00,malware_download,urlhaus
42.87.175.27,http://42.87.175.27:41810/bin.sh,2025-09-21 00:00:00+00:00,malware_download,urlhaus
123.13.83.88,http://123.13.83.88:45113/i,2025-09-21 00:00:00+00:00,malware_download,urlhaus
125.45.64.128,http://125.45.64.128:40069/i,2025-09-21 00:00:00+00:00,malware_download,urlhaus
115.57.247.131,http://115.57.247.131:55603/bin.sh,2025-09-21 00:00:00+00:00,malware_download,urlhaus
120.28.222.114,http://120.28.222.114:39201/i,2025-09-21 00:00:00+00:00,malware_download,urlhaus
123.129.131.112,http://123.129.131.112:57473/i,2025-09-21 00:00:00+00:00,malware_download,urlhaus
182.127.178.243,http://182.127.178.243:52927/i,2025-09-21 00:00:00+00:00,malware_download,urlhaus
123.11.77.193,http://123.11.77.193:40787/bin.sh,2025-09-21 00:00:00+00:00,malware_download,urlhaus
115.50.218.225,http://115.50.218.225:59276/i,2025-09-21 00:00:00+00:00,malware_download,urlhaus
125.41.4.53,http://125.41.4.53:52600/bin.sh,2025-09-21 00:00:00+00:00,malware_download,urlhaus
157.18.175.221,http://157.18.175.221:50549/i,2025-09-21 00:00:00+00:00,malware_download,urlhaus
42.176.243.8,http://42.176.243.8:43844/i,2025-09-21 00:00:00+00:00,malware_download,urlhaus
123.10.233.147,http://123.10.233.147:48872/i,2025-09-21 00:00:00+00:00,malware_download,urlhaus
42.227.137.124,http://42.227.137.124:44442/i,2025-09-21 00:00:00+00:00,malware_download,urlhaus
115.59.30.10,http://115.59.30.10:56371/i,2025-09-21 00:00:00+00:00,malware_download,urlhaus
103.118.28.144,http://103.118.28.144/hiddenbin/Space.spc,2025-09-21 00:00:00+00:00,malware_download,urlhaus
123.9.41.115,http://123.9.41.115:47570/i,2025-09-21 00:00:00+00:00,malware_download,urlhaus
61.52.35.252,http://61.52.35.252:48021/bin.sh,2025-09-21 00:00:00+00:00,malware_download,urlhaus
219.157.24.10,http://219.157.24.10:51898/bin.sh,2025-09-21 00:00:00+00:00,malware_download,urlhaus
61.53.75.80,http://61.53.75.80:49498/i,2025-09-21 00:00:00+00:00,malware_download,urlhaus
175.146.214.48,http://175.146.214.48:46476/i,2025-09-21 00:00:00+00:00,malware_download,urlhaus
182.113.33.134,http://182.113.33.134:35372/i,2025-09-21 00:00:00+00:00,malware_download,urlhaus
113.231.212.12,http://113.231.212.12:35637/i,2025-09-21 00:00:00+00:00,malware_download,urlhaus
200.59.88.36,http://200.59.88.36:40988/i,2025-09-21 00:00:00+00:00,malware_download,urlhaus
113.237.104.22,http://113.237.104.22:37276/i,2025-09-21 00:00:00+00:00,malware_download,urlhaus
61.52.110.232,http://61.52.110.232:36405/i,2025-09-21 00:00:00+00:00,malware_download,urlhaus
115.55.234.13,http://115.55.234.13:44194/i,2025-09-21 00:00:00+00:00,malware_download,urlhaus
42.234.70.153,http://42.234.70.153:39722/i,2025-09-21 00:00:00+00:00,malware_download,urlhaus
125.40.121.247,http://125.40.121.247:44705/i,2025-09-21 00:00:00+00:00,malware_download,urlhaus
219.156.77.160,http://219.156.77.160:39957/i,2025-09-21 00:00:00+00:00,malware_download,urlhaus
115.59.238.55,http://115.59.238.55:51453/i,2025-09-21 00:00:00+00:00,malware_download,urlhaus
222.138.124.52,http://222.138.124.52:33050/i,2025-09-21 00:00:00+00:00,malware_download,urlhaus
39.79.194.92,http://39.79.194.92:48267/i,2025-09-21 00:00:00+00:00,malware_download,urlhaus
115.50.42.122,http://115.50.42.122:50566/i,2025-09-21 00:00:00+00:00,malware_download,urlhaus
42.58.20.136,http://42.58.20.136:40356/i,2025-09-21 00:00:00+00:00,malware_download,urlhaus
200.59.88.14,http://200.59.88.14:56754/bin.sh,2025-09-21 00:00:00+00:00,malware_download,urlhaus
200.59.88.235,http://200.59.88.235:33072/i,2025-09-21 00:00:00+00:00,malware_download,urlhaus
173.63.31.85,http://173.63.31.85:44413/i,2025-09-21 00:00:00+00:00,malware_download,urlhaus
115.57.187.123,http://115.57.187.123:57127/i,2025-09-21 00:00:00+00:00,malware_download,urlhaus
39.74.105.247,http://39.74.105.247:49725/i,2025-09-21 00:00:00+00:00,malware_download,urlhaus
222.137.157.234,http://222.137.157.234:57337/bin.sh,2025-09-21 00:00:00+00:00,malware_download,urlhaus
124.133.175.107,http://124.133.175.107:53347/i,2025-09-21 00:00:00+00:00,malware_download,urlhaus
182.117.71.55,http://182.117.71.55:51590/i,2025-09-21 00:00:00+00:00,malware_download,urlhaus
175.168.220.100,http://175.168.220.100:39262/i,2025-09-21 00:00:00+00:00,malware_download,urlhaus
115.56.67.155,http://115.56.67.155:59210/i,2025-09-21 00:00:00+00:00,malware_download,urlhaus
174.163.48.188,http://174.163.48.188:41618/i,2025-09-21 00:00:00+00:00,malware_download,urlhaus
42.224.24.121,http://42.224.24.121:36937/i,2025-09-21 00:00:00+00:00,malware_download,urlhaus
95.12.14.213,http://95.12.14.213:36882/i,2025-09-21 00:00:00+00:00,malware_download,urlhaus
125.47.35.106,http://125.47.35.106:37134/i,2025-09-21 00:00:00+00:00,malware_download,urlhaus
39.73.109.77,http://39.73.109.77:32842/i,2025-09-21 00:00:00+00:00,malware_download,urlhaus
182.127.69.222,http://182.127.69.222:56745/i,2025-09-21 00:00:00+00:00,malware_download,urlhaus
110.39.224.42,http://110.39.224.42:48562/i,2025-09-21 00:00:00+00:00,malware_download,urlhaus
175.151.233.9,http://175.151.233.9:47982/i,2025-09-21 00:00:00+00:00,malware_download,urlhaus
115.55.62.97,http://115.55.62.97:58388/i,2025-09-21 00:00:00+00:00,malware_download,urlhaus
200.59.85.99,http://200.59.85.99:45483/bin.sh,2025-09-21 00:00:00+00:00,malware_download,urlhaus
110.37.102.3,http://110.37.102.3:38217/i,2025-09-21 00:00:00+00:00,malware_download,urlhaus
200.59.88.128,http://200.59.88.128:39791/bin.sh,2025-09-21 00:00:00+00:00,malware_download,urlhaus
115.57.244.96,http://115.57.244.96:57411/bin.sh,2025-09-21 00:00:00+00:00,malware_download,urlhaus
182.112.109.204,http://182.112.109.204:40823/i,2025-09-21 00:00:00+00:00,malware_download,urlhaus
222.127.227.201,http://222.127.227.201:55113/bin.sh,2025-09-21 00:00:00+00:00,malware_download,urlhaus
61.54.71.83,http://61.54.71.83:58405/i,2025-09-21 00:00:00+00:00,malware_download,urlhaus
42.225.219.246,http://42.225.219.246:45991/i,2025-09-21 00:00:00+00:00,malware_download,urlhaus
115.55.59.177,http://115.55.59.177:47992/bin.sh,2025-09-21 00:00:00+00:00,malware_download,urlhaus
42.229.151.144,http://42.229.151.144:36852/i,2025-09-21 00:00:00+00:00,malware_download,urlhaus
42.56.0.235,http://42.56.0.235:48885/i,2025-09-21 00:00:00+00:00,malware_download,urlhaus
123.9.241.66,http://123.9.241.66:37059/i,2025-09-21 00:00:00+00:00,malware_download,urlhaus
123.8.180.242,http://123.8.180.242:57416/i,2025-09-21 00:00:00+00:00,malware_download,urlhaus
222.137.113.166,http://222.137.113.166:43948/bin.sh,2025-09-21 00:00:00+00:00,malware_download,urlhaus
42.55.47.250,http://42.55.47.250:54104/bin.sh,2025-09-21 00:00:00+00:00,malware_download,urlhaus
36.163.57.158,http://36.163.57.158:55622/bin.sh,2025-09-21 00:00:00+00:00,malware_download,urlhaus
113.238.15.184,http://113.238.15.184:59041/bin.sh,2025-09-21 00:00:00+00:00,malware_download,urlhaus
202.169.234.56,http://202.169.234.56:39181/bin.sh,2025-09-21 00:00:00+00:00,malware_download,urlhaus
123.188.94.35,http://123.188.94.35:42482/bin.sh,2025-09-21 00:00:00+00:00,malware_download,urlhaus
147.45.125.103,http://147.45.125.103/d/akido.mpsl,2025-09-21 00:00:00+00:00,malware_download,urlhaus
182.121.189.81,http://182.121.189.81:58734/i,2025-09-21 00:00:00+00:00,malware_download,urlhaus
61.53.193.163,http://61.53.193.163:50871/i,2025-09-21 00:00:00+00:00,malware_download,urlhaus
42.226.67.192,http://42.226.67.192:37992/bin.sh,2025-09-21 00:00:00+00:00,malware_download,urlhaus
222.137.144.5,http://222.137.144.5:34134/i,2025-09-21 00:00:00+00:00,malware_download,urlhaus
